#{"t_start": 1679636776.6090505, "env_id": null}
r,l,t
-2470,2500,1886.488158
-2470,2500,1928.187627
-2470,2500,1969.838708
-2470,2500,2011.540746
-2470,2500,2053.260381
-2470,2500,2094.928272
-2470,2500,2136.626845
-2470,2500,2178.291621
-2470,2500,2219.958256
-2470,2500,2261.624912
-2470,2500,2303.324617
-2470,2500,2345.011172
-2470,2500,2386.678511
-2470,2500,2428.375775
-2470,2500,2470.076979
-2470,2500,2511.774866
-2470,2500,2553.443671
-2177,2500,2595.107688
-2470,2500,2636.794598
-2470,2500,2678.458646
-2470,2500,2720.126308
-2470,2500,2761.791975
-2470,2500,2803.490313
-2470,2500,2845.15862
-2440,2500,2886.808874
-2470,2500,2928.476733
-2470,2500,2970.207847
-2470,2500,3011.876266
-2470,2500,3053.540419
-2470,2500,3095.242406
-2470,2500,3136.905443
-2470,2500,3178.60548
-2470,2500,3220.292118
-2470,2500,3262.044987
-2470,2500,3303.711618
-2470,2500,3345.410719
-2470,2500,3387.0774
-2470,2500,3428.743174
-2470,2500,3470.409148
-2470,2500,3512.075153
-2470,2500,3553.728332
-2470,2500,3595.393639
-2470,2500,3637.059929
-2470,2500,3678.726746
-2470,2500,3720.392297
-2470,2500,3762.092163
-2470,2500,3803.758297
-2470,2500,3845.411206
-2470,2500,3887.121392
-2470,2500,3928.778172
-2450,2500,3970.445291
-2470,2500,4012.11187
-2470,2500,4053.774409
-2470,2500,4095.473645
-2470,2500,4137.127755
-2470,2500,4178.841898
-2470,2500,4220.507537
-2470,2500,4262.176475
-2470,2500,4303.840218
-2470,2500,4345.507573
-2470,2500,4387.173591
-2470,2500,4428.8303
-2470,2500,4470.545888
-2470,2500,4512.212419
-2470,2500,4553.878621
-2470,2500,4595.578011
-2470,2500,4637.24413
-2470,2500,4678.910184
-2460,2500,4720.57602
-2470,2500,4762.276147
-2470,2500,4803.928915
-2470,2500,4845.59932
-2175,2500,4887.261202
-2470,2500,4928.927126
-2440,2500,4970.629019
-2470,2500,5012.29275
-2470,2500,5053.943963
-2470,2500,5095.64474
-2470,2500,5137.311094
-2470,2500,5151.265493
-2470,2500,5168.435381
-2470,2500,5210.088768
-2470,2500,5251.750912
-2470,2500,5293.417821
-2470,2500,5335.083385
-2376,2500,5376.750233
-2470,2500,5418.449679
-2197,2500,5460.102674
-2470,2500,5501.818123
-2470,2500,5543.539241
-2470,2500,5585.205111
-2470,2500,5626.8711
-2470,2500,5668.53765
-2470,2500,5710.204272
-2470,2500,5751.903224
-2470,2500,5793.569704
-2470,2500,5835.222245
-2470,2500,5876.905373
-2470,2500,5918.571444
-2430,2500,5960.237863
-2470,2500,7856.103678
-2470,2500,7897.769711
-2470,2500,7939.439512
-2470,2500,7981.103824
-2470,2500,8022.824018
-2470,2500,8064.489438
-2470,2500,8106.189359
-2470,2500,8147.855547
-2470,2500,8189.521943
-2470,2500,8231.188333
-2404,2500,8272.887343
-2470,2500,8314.540457
-2428,2500,8356.207043
-2470,2500,8397.871242
-2470,2500,8439.542405
-2470,2500,8481.205695
-2470,2500,8522.905189
-2470,2500,8564.570533
-2470,2500,8606.222582
-2470,2500,8647.891779
-2470,2500,8689.558086
-2470,2500,8731.271257
-2470,2500,8772.940168
-2470,2500,8814.602605
-2470,2500,8856.30467
-2470,2500,8897.953151
-2470,2500,8939.623087
-2470,2500,8981.319966
-2470,2500,9022.986342
-2470,2500,9064.657061
-2470,2500,9106.351964
-2470,2500,9148.018075
-2470,2500,9189.703186
-2470,2500,9231.424525
-2470,2500,9273.124462
-2470,2500,9314.823987
-2470,2500,9356.490364
-2470,2500,9398.18988
-2470,2500,9439.839397
-2392,2500,9481.504654
-2470,2500,9523.157318
-2470,2500,9564.823348
-2470,2500,9606.489914
-2470,2500,9648.155514
-2470,2500,9689.821435
-2470,2500,9731.520453
-2470,2500,9773.188118
-2470,2500,9814.839073
-2470,2500,9856.505758
-2470,2500,9898.169754
-2470,2500,9939.835801
-2470,2500,9981.501377
-2470,2500,10023.18542
-2470,2500,10064.834956
-2470,2500,10106.502999
-2470,2500,10148.168157
-2470,2500,10189.866459
-2470,2500,10231.531134
-2470,2500,10273.198185
-2378,2500,10314.913782
-2470,2500,10356.567547
-2470,2500,10398.235515
-2470,2500,10439.951173
-2470,2500,10481.618961
-2470,2500,10523.316524
-2470,2500,10564.983317
-2470,2500,10606.699564
-2470,2500,10648.364228
-2470,2500,10690.031497
-2470,2500,10731.687035
-2470,2500,10773.350947
-2470,2500,10815.01635
-2470,2500,10856.68454
-2470,2500,10898.38359
-2424,2500,10940.049997
-2470,2500,10981.701286
-2470,2500,11023.367376
-2470,2500,11065.06717
-2470,2500,11106.734043
-2470,2500,11148.398702
-2470,2500,11190.09882
-2470,2500,11231.765057
-2470,2500,11273.433553
-2426,2500,11315.098361
-2470,2500,11356.80178
-2470,2500,11398.465351
-2470,2500,11440.130979
-2470,2500,11481.796442
-2470,2500,11523.462362
-2470,2500,11565.117683
-2470,2500,11606.886277
-2470,2500,11648.553129
-2470,2500,11690.218105
-2470,2500,11731.884268
-2470,2500,11773.551763
-2470,2500,11815.216693
-2436,2500,11856.884196
-2470,2500,11898.568916
-2470,2500,11940.234964
-2470,2500,11981.902639
-2470,2500,13878.049705
-2470,2500,13919.701287
-2470,2500,13961.384794
-2470,2500,14003.104705
-2420,2500,14044.77123
-2470,2500,14086.436911
-2470,2500,14128.102688
-2470,2500,14169.769132
-2344,2500,14211.435208
-2470,2500,14253.101577
-2470,2500,14294.754906
-2470,2500,14336.421355
-2470,2500,14378.120118
-2470,2500,14419.785314
-2470,2500,14461.451601
-2470,2500,14503.119457
-2470,2500,14544.785568
-2470,2500,14586.470179
-2430,2500,14628.168901
-2470,2500,14669.835187
-2470,2500,14711.53571
-2470,2500,14753.202036
-2470,2500,14794.867142
-2470,2500,14836.519985
-2470,2500,14878.185519
-2470,2500,14919.851912
-2470,2500,14961.522098
-2470,2500,15003.220263
-2470,2500,15044.884892
-2470,2500,15086.585965
-2470,2500,15128.235245
-2470,2500,15169.955674
-2470,2500,15211.622291
-2470,2500,15253.355074
-2470,2500,15295.054506
-2444,2500,15336.720791
-2470,2500,15378.386533
-2470,2500,15420.08658
-2470,2500,15461.752962
-2470,2500,15503.406929
-2426,2500,15545.104713
-2470,2500,15586.772061
-2470,2500,15628.470069
-2470,2500,15670.136265
-2470,2500,15711.80347
-2470,2500,15753.456309
-2470,2500,15795.127741
-2470,2500,15836.788114
-2470,2500,15878.454849
-2438,2500,15920.121812
-2470,2500,15961.786457
-2470,2500,16003.451371
-2454,2500,16045.103434
-2470,2500,16086.769705
-2470,2500,16128.437133
-2470,2500,16170.102266
-2470,2500,16211.769903
-2470,2500,16253.436589
-2470,2500,16295.101014
-2470,2500,16336.7632
-2470,2500,16378.426054
-2470,2500,16420.140073
-2416,2500,16461.804945
-2470,2500,16503.472235
-2470,2500,16545.139069
-2410,2500,16586.804412
-2470,2500,16628.471543
-2470,2500,16670.136659
-2470,2500,16711.789842
-2470,2500,16753.455719
-2470,2500,16795.156487
-2470,2500,16836.820758
-2470,2500,16878.487221
-2470,2500,16920.155175
-2470,2500,16961.822062
-2470,2500,17003.47255
-2470,2500,17045.1395
-2470,2500,17086.804699
-2470,2500,17128.471856
-2470,2500,17170.135571
-2470,2500,17211.803329
-2470,2500,17253.468593
-2470,2500,17295.155611
-2470,2500,17336.81968
-2470,2500,17378.518487
-2470,2500,17420.18768
-2470,2500,17461.85473
-2470,2500,17503.518728
-2470,2500,17545.169716
-2470,2500,17586.836351
-2470,2500,17628.557168
-2470,2500,17670.223681
-2470,2500,17711.889125
-2470,2500,17753.556082
-2470,2500,17795.22139
-2470,2500,17836.888365
-2470,2500,17878.540343
-2470,2500,17920.208756
-2470,2500,17961.872686
-2470,2500,18003.538909
-2470,2500,19882.316907
